Date,AMZN,AAPL,WBA,NOC,BA,LMT,MCD,INTC,IBM,TXN,MA,MSFT,GE,AXP,PEP,KO,JNJ,TM,HMC,XOM,CVX,VLO,F,BAC
2015-04-17,382.6300048828125,31.387500762939453,88.45999908447266,162.1999969482422,150.8800048828125,195.8000030517578,95.12999725341797,32.5099983215332,154.63670349121094,57.84000015258789,87.98999786376953,41.66999816894531,210.76922607421875,78.4000015258789,95.83999633789062,40.470001220703125,99.37000274658203,138.99000549316406,35.220001220703125,87.13999938964844,109.36000061035156,57.970001220703125,15.880000114440918,15.710000038146973
2015-04-20,378.54998779296875,31.392499923706055,87.51000213623047,161.17999267578125,151.05999755859375,195.27999877929688,95.0,32.61000061035156,154.9713134765625,57.599998474121094,87.22000122070312,41.72999954223633,210.15383911132812,77.38999938964844,96.26000213623047,40.41999816894531,100.26000213623047,138.74000549316406,35.099998474121094,87.12999725341797,109.56999969482422,57.7400016784668,15.890000343322754,15.619999885559082
2015-04-21,391.30999755859375,32.025001525878906,87.27999877929688,163.72000122070312,153.50999450683594,198.0500030517578,96.19000244140625,32.93000030517578,158.7667236328125,58.869998931884766,87.5,43.0,207.92308044433594,77.37999725341797,97.19999694824219,40.66999816894531,100.66000366210938,141.3699951171875,35.5099983215332,87.37999725341797,110.05000305175781,57.470001220703125,15.920000076293945,15.600000381469727
2015-04-22,391.9100036621094,31.747499465942383,87.04000091552734,162.3699951171875,152.36000061035156,196.6999969482422,97.0,32.40999984741211,157.16061401367188,58.540000915527344,88.4800033569336,42.66999816894531,205.38461303710938,77.41000366210938,97.25,41.560001373291016,100.62999725341797,141.47000122070312,35.5,87.04000091552734,110.05000305175781,58.58000183105469,15.829999923706055,15.550000190734863
2015-04-23,390.2099914550781,32.07500076293945,86.88999938964844,161.5399932861328,150.8300018310547,197.49000549316406,97.44000244140625,32.040000915527344,157.9636688232422,54.29999923706055,91.19999694824219,42.88999938964844,206.0,78.05999755859375,96.66999816894531,41.22999954223633,100.5,141.16000366210938,35.900001525878906,87.36000061035156,110.0,59.5,15.84000015258789,15.720000267028809
2015-04-24,439.0,32.622501373291016,87.16000366210938,162.5,149.5399932861328,197.00999450683594,96.98999786376953,32.40999984741211,162.74378967285156,54.68000030517578,90.72000122070312,45.65999984741211,206.76922607421875,78.30000305175781,95.70999908447266,41.040000915527344,100.11000061035156,141.25999450683594,36.369998931884766,87.19000244140625,109.66999816894531,59.400001525878906,15.729999542236328,15.710000038146973
2015-04-27,443.8599853515625,33.07749938964844,86.69000244140625,162.0500030517578,148.58999633789062,195.63999938964844,98.73999786376953,32.08000183105469,163.374755859375,55.31999969482422,90.93000030517578,47.22999954223633,207.38461303710938,77.83000183105469,95.16999816894531,41.0,101.16000366210938,140.9600067138672,36.400001525878906,87.41000366210938,110.33999633789062,60.310001373291016,15.819999694824219,15.630000114440918
2015-04-28,438.510009765625,33.6150016784668,85.83999633789062,160.00999450683594,147.89999389648438,193.75,96.2699966430664,32.29999923706055,163.31739807128906,55.310001373291016,89.6500015258789,47.779998779296875,207.3076934814453,77.69000244140625,94.73999786376953,40.95000076293945,100.44999694824219,142.17999267578125,34.560001373291016,87.22000122070312,110.05000305175781,59.81999969482422,15.930000305175781,15.579999923706055
2015-04-29,426.75,32.540000915527344,85.33999633789062,162.0500030517578,147.07000732421875,193.3800048828125,96.58000183105469,32.560001373291016,165.77438354492188,54.66999816894531,91.12999725341797,48.720001220703125,207.3076934814453,77.12999725341797,94.22000122070312,40.65999984741211,100.51000213623047,141.3300018310547,33.790000915527344,87.5,110.81999969482422,58.790000915527344,15.859999656677246,15.600000381469727
2015-04-30,427.1099853515625,32.15999984741211,84.0,158.17999267578125,145.25,190.97000122070312,96.6500015258789,32.709999084472656,166.12811279296875,54.90999984741211,90.25,48.70000076293945,208.15383911132812,77.04000091552734,94.16000366210938,40.400001525878906,100.06999969482422,140.0,33.84000015258789,88.66999816894531,112.04000091552734,58.04999923706055,15.970000267028809,16.0
2015-05-01,423.82000732421875,31.524999618530273,82.52999877929688,154.8699951171875,144.41000366210938,186.8000030517578,96.7300033569336,32.630001068115234,165.5831756591797,54.709999084472656,90.36000061035156,48.58000183105469,208.38461303710938,77.8499984741211,95.16000366210938,40.58000183105469,99.62000274658203,138.75,34.099998474121094,87.8499984741211,110.27999877929688,57.04999923706055,15.899999618530273,16.0
2015-05-04,424.79998779296875,32.375,83.87999725341797,156.17999267578125,143.85000610351562,189.1999969482422,96.56999969482422,33.27000045776367,166.7973175048828,55.29999923706055,91.48999786376953,48.369998931884766,210.46153259277344,77.95999908447266,95.44999694824219,40.880001068115234,100.33000183105469,139.7899932861328,34.18000030517578,89.41999816894531,109.37999725341797,59.0099983215332,15.8100004196167,16.139999389648438
2015-05-05,422.8500061035156,32.037498474121094,84.01000213623047,155.67999267578125,143.75999450683594,189.25,96.38999938964844,33.0,165.87954711914062,54.970001220703125,91.13999938964844,47.81999969482422,209.61538696289062,77.9800033569336,96.0199966430664,41.13999938964844,100.12999725341797,139.4600067138672,34.25,89.97000122070312,109.23999786376953,58.29999923706055,15.770000457763672,16.420000076293945
2015-05-06,421.42999267578125,31.639999389648438,83.22000122070312,154.0,143.00999450683594,188.50999450683594,96.0999984741211,32.5,165.29637145996094,54.130001068115234,91.05000305175781,47.56999969482422,207.6923065185547,78.69999694824219,95.91999816894531,41.040000915527344,99.62000274658203,137.32000732421875,33.790000915527344,89.6500015258789,109.23999786376953,58.400001525878906,15.609999656677246,16.360000610351562
